date,province,cases,count
2020/1/21,新疆,total_recoveries,0
2020/1/21,宁夏,total_recoveries,0
2020/1/21,香港,total_recoveries,0
2020/1/21,台湾,total_recoveries,0
2020/1/21,青海,total_recoveries,0
2020/1/21,澳门,total_recoveries,0
2020/1/21,西藏,total_recoveries,0
2020/1/21,湖北,total_deaths,9
2020/1/21,广东,total_deaths,0
2020/1/21,河南,total_deaths,0
2020/1/21,浙江,total_deaths,0
2020/1/21,湖南,total_deaths,0
2020/1/21,安徽,total_deaths,0
2020/1/21,江西,total_deaths,0
2020/1/21,江苏,total_deaths,0
2020/1/21,重庆,total_deaths,0
2020/1/21,山东,total_deaths,0
2020/1/21,四川,total_deaths,0
2020/1/21,黑龙江,total_deaths,0
2020/1/21,北京,total_deaths,0
2020/1/21,上海,total_deaths,0
2020/1/21,福建,total_deaths,0
2020/1/21,河北,total_deaths,0
2020/1/21,陕西,total_deaths,0
2020/1/21,广西,total_deaths,0
2020/1/21,云南,total_deaths,0
2020/1/21,海南,total_deaths,0
2020/1/21,贵州,total_deaths,0
2020/1/21,山西,total_deaths,0
2020/1/21,辽宁,total_deaths,0
2020/1/21,天津,total_deaths,0
2020/1/21,甘肃,total_deaths,0
2020/1/21,吉林,total_deaths,0
2020/1/21,内蒙古,total_deaths,0
2020/1/21,新疆,total_deaths,0
2020/1/21,宁夏,total_deaths,0
2020/1/21,香港,total_deaths,0
2020/1/21,台湾,total_deaths,0
2020/1/21,青海,total_deaths,0
2020/1/21,澳门,total_deaths,0
2020/1/21,西藏,total_deaths,0
2020/1/22,湖北,total_confirmed,444
2020/1/22,广东,total_confirmed,32
2020/1/22,河南,total_confirmed,5
2020/1/22,浙江,total_confirmed,27
2020/1/22,湖南,total_confirmed,9
2020/1/22,安徽,total_confirmed,9
2020/1/22,江西,total_confirmed,3
2020/1/22,江苏,total_confirmed,1
2020/1/22,重庆,total_confirmed,9
2020/1/22,山东,total_confirmed,6
2020/1/22,四川,total_confirmed,8
2020/1/22,黑龙江,total_confirmed,2
2020/1/22,北京,total_confirmed,22
2020/1/22,上海,total_confirmed,16
2020/1/22,福建,total_confirmed,5
2020/1/22,河北,total_confirmed,1
2020/1/22,陕西,total_confirmed,3
2020/1/22,广西,total_confirmed,5
2020/1/22,云南,total_confirmed,1
2020/1/22,海南,total_confirmed,5
2020/1/22,贵州,total_confirmed,3
2020/1/22,山西,total_confirmed,1
2020/1/22,辽宁,total_confirmed,3
2020/1/22,天津,total_confirmed,4
2020/1/22,甘肃,total_confirmed,0
2020/1/22,吉林,total_confirmed,1
2020/1/22,内蒙古,total_confirmed,0
2020/1/22,新疆,total_confirmed,2
2020/1/22,宁夏,total_confirmed,1
2020/1/22,香港,total_confirmed,3
2020/1/22,台湾,total_confirmed,1
2020/1/22,青海,total_confirmed,0
2020/1/22,澳门,total_confirmed,2
2020/1/22,西藏,total_confirmed,0
2020/1/22,湖北,total_recoveries,28
2020/1/22,广东,total_recoveries,2
2020/1/22,河南,total_recoveries,0
2020/1/22,浙江,total_recoveries,0
2020/1/22,湖南,total_recoveries,0
2020/1/22,安徽,total_recoveries,0
2020/1/22,江西,total_recoveries,0
2020/1/22,江苏,total_recoveries,0
2020/1/22,重庆,total_recoveries,0
2020/1/22,山东,total_recoveries,0
2020/1/22,四川,total_recoveries,0
2020/1/22,黑龙江,total_recoveries,0
2020/1/22,北京,total_recoveries,0
2020/1/22,上海,total_recoveries,0
2020/1/22,福建,total_recoveries,0
2020/1/22,河北,total_recoveries,0
2020/1/22,陕西,total_recoveries,0
2020/1/22,广西,total_recoveries,0
2020/1/22,云南,total_recoveries,0
2020/1/22,海南,total_recoveries,0
2020/1/22,贵州,total_recoveries,0
2020/1/22,山西,total_recoveries,0
2020/1/22,辽宁,total_recoveries,0
2020/1/22,天津,total_recoveries,0
2020/1/22,甘肃,total_recoveries,0
2020/1/22,吉林,total_recoveries,0
2020/1/22,内蒙古,total_recoveries,0
2020/1/22,新疆,total_recoveries,0
2020/1/22,宁夏,total_recoveries,0
2020/1/22,香港,total_recoveries,0
2020/1/22,台湾,total_recoveries,0
2020/1/22,青海,total_recoveries,0
2020/1/22,澳门,total_recoveries,0
2020/1/22,西藏,total_recoveries,0
2020/1/22,湖北,total_deaths,17
2020/1/22,广东,total_deaths,0
2020/1/22,河南,total_deaths,0
2020/1/22,浙江,total_deaths,0
2020/1/22,湖南,total_deaths,0
2020/1/22,安徽,total_deaths,0
2020/1/22,江西,total_deaths,0
2020/1/22,江苏,total_deaths,0
2020/1/22,重庆,total_deaths,0
2020/1/22,山东,total_deaths,0
2020/1/22,四川,total_deaths,0
2020/1/22,黑龙江,total_deaths,0
2020/1/22,北京,total_deaths,0
2020/1/22,上海,total_deaths,0
2020/1/22,福建,total_deaths,0
2020/1/22,河北,total_deaths,0
2020/1/22,陕西,total_deaths,0
2020/1/22,广西,total_deaths,0
2020/1/22,云南,total_deaths,0
2020/1/22,海南,total_deaths,0
2020/1/22,贵州,total_deaths,0
2020/1/22,山西,total_deaths,0
2020/1/22,辽宁,total_deaths,0
2020/1/22,天津,total_deaths,0
2020/1/22,甘肃,total_deaths,0
2020/1/22,吉林,total_deaths,0
2020/1/22,内蒙古,total_deaths,0
2020/1/22,新疆,total_deaths,0
2020/1/22,宁夏,total_deaths,0
2020/1/22,香港,total_deaths,0
2020/1/22,台湾,total_deaths,0
2020/1/22,青海,total_deaths,0
2020/1/22,澳门,total_deaths,0
2020/1/22,西藏,total_deaths,0
2020/1/23,湖北,total_confirmed,549
2020/1/23,广东,total_confirmed,53
2020/1/23,河南,total_confirmed,9
2020/1/23,浙江,total_confirmed,43
2020/1/23,湖南,total_confirmed,24
2020/1/23,安徽,total_confirmed,15
2020/1/23,江西,total_confirmed,7
2020/1/23,江苏,total_confirmed,9
2020/1/23,重庆,total_confirmed,27
2020/1/23,山东,total_confirmed,15
2020/1/23,四川,total_confirmed,15
2020/1/23,黑龙江,total_confirmed,4
2020/1/23,北京,total_confirmed,29
2020/1/23,上海,total_confirmed,20
2020/1/23,福建,total_confirmed,10
2020/1/23,河北,total_confirmed,2
2020/1/23,陕西,total_confirmed,3
2020/1/23,广西,total_confirmed,13
2020/1/23,云南,total_confirmed,2
2020/1/23,海南,total_confirmed,8
2020/1/23,贵州,total_confirmed,3
2020/1/23,山西,total_confirmed,1
2020/1/23,辽宁,total_confirmed,4
2020/1/23,天津,total_confirmed,7
2020/1/23,甘肃,total_confirmed,2
2020/1/23,吉林,total_confirmed,3
2020/1/23,内蒙古,total_confirmed,1
2020/1/23,新疆,total_confirmed,2
2020/1/23,宁夏,total_confirmed,2
2020/1/23,香港,total_confirmed,2
2020/1/23,台湾,total_confirmed,1
2020/1/23,青海,total_confirmed,0
2020/1/23,澳门,total_confirmed,2
2020/1/23,西藏,total_confirmed,0
2020/1/23,湖北,total_recoveries,31
2020/1/23,广东,total_recoveries,2
2020/1/23,河南,total_recoveries,0
2020/1/23,浙江,total_recoveries,1
2020/1/23,湖南,total_recoveries,0
2020/1/23,安徽,total_recoveries,0
2020/1/23,江西,total_recoveries,0
2020/1/23,江苏,total_recoveries,0
2020/1/23,重庆,total_recoveries,0
2020/1/23,山东,total_recoveries,0
2020/1/23,四川,total_recoveries,0
2020/1/23,黑龙江,total_recoveries,0
2020/1/23,北京,total_recoveries,1
2020/1/23,上海,total_recoveries,0
2020/1/23,福建,total_recoveries,0
2020/1/23,河北,total_recoveries,0
2020/1/23,陕西,total_recoveries,0
2020/1/23,广西,total_recoveries,0
2020/1/23,云南,total_recoveries,0
2020/1/23,海南,total_recoveries,0
2020/1/23,贵州,total_recoveries,0
2020/1/23,山西,total_recoveries,0
2020/1/23,辽宁,total_recoveries,0
2020/1/23,天津,total_recoveries,0
2020/1/23,甘肃,total_recoveries,0
2020/1/23,吉林,total_recoveries,0
2020/1/23,内蒙古,total_recoveries,0
2020/1/23,新疆,total_recoveries,0
2020/1/23,宁夏,total_recoveries,0
2020/1/23,香港,total_recoveries,0
2020/1/23,台湾,total_recoveries,0
2020/1/23,青海,total_recoveries,0
2020/1/23,澳门,total_recoveries,0
2020/1/23,西藏,total_recoveries,0
2020/1/23,湖北,total_deaths,24
2020/1/23,广东,total_deaths,0
2020/1/23,河南,total_deaths,0
2020/1/23,浙江,total_deaths,0
2020/1/23,湖南,total_deaths,0
2020/1/23,安徽,total_deaths,0
2020/1/23,江西,total_deaths,0
2020/1/23,江苏,total_deaths,0
2020/1/23,重庆,total_deaths,0
2020/1/23,山东,total_deaths,0
2020/1/23,四川,total_deaths,0
2020/1/23,黑龙江,total_deaths,1
2020/1/23,北京,total_deaths,0
2020/1/23,上海,total_deaths,0
2020/1/23,福建,total_deaths,0
2020/1/23,河北,total_deaths,1
2020/1/23,陕西,total_deaths,0
